id,target,dominant_prediction,correct_models,total_models,correct_ratio,majority_count,confidence,majority_correct,pred_SVC_s42,correct_SVC_s42,pred_SVC_s123,correct_SVC_s123,pred_SVC_s2026,correct_SVC_s2026,pred_CatBoost_s42,correct_CatBoost_s42,pred_CatBoost_s123,correct_CatBoost_s123,pred_CatBoost_s2026,correct_CatBoost_s2026,pred_RF_s42,correct_RF_s42,pred_RF_s123,correct_RF_s123,pred_RF_s2026,correct_RF_s2026,pred_ET_s42,correct_ET_s42,pred_ET_s123,correct_ET_s123,pred_ET_s2026,correct_ET_s2026,pred_HGB_s42,correct_HGB_s42,pred_HGB_s123,correct_HGB_s123,pred_HGB_s2026,correct_HGB_s2026,category
10,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
11,2,3,3,15,0.2,12,0.8,0,2,1,2,1,2,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,UNCERTAIN
12,1,1,13,15,0.8666666666666667,13,0.8666666666666667,1,2,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EASY_CORRECT
13,2,3,0,15,0.0,15,1.0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,CONSISTENTLY_WRONG
14,2,1,4,15,0.26666666666666666,8,0.5333333333333333,0,2,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,2,1,2,1,UNCERTAIN
15,1,0,4,15,0.26666666666666666,11,0.7333333333333333,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,UNCERTAIN
16,3,3,14,15,0.9333333333333333,14,0.9333333333333333,1,3,1,3,1,2,0,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
17,3,2,0,15,0.0,12,0.8,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,1,0,2,0,1,0,2,0,2,0,2,0,CONSISTENTLY_WRONG
18,3,3,12,15,0.8,12,0.8,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,2,0,3,1,3,1,2,0,3,1,3,1,2,0,EASY_CORRECT
19,2,3,6,15,0.4,8,0.5333333333333333,0,2,1,1,0,2,1,2,1,3,0,2,1,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,0,2,1,UNCERTAIN
20,0,0,10,15,0.6666666666666666,10,0.6666666666666666,1,0,1,0,1,0,1,0,1,0,1,0,1,2,0,2,0,0,1,2,0,2,0,1,0,0,1,0,1,0,1,BORDERLINE_CORRECT
21,0,1,2,15,0.13333333333333333,12,0.8,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,1,0,1,0,1,0,1,0,CONSISTENTLY_WRONG
22,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
23,0,0,11,15,0.7333333333333333,11,0.7333333333333333,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,BORDERLINE_CORRECT
24,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
25,1,0,3,15,0.2,10,0.6666666666666666,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,UNCERTAIN
26,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
27,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
28,0,2,6,15,0.4,8,0.5333333333333333,0,2,0,2,0,2,0,1,0,2,0,2,0,0,1,0,1,0,1,0,1,0,1,0,1,2,0,2,0,2,0,UNCERTAIN
29,1,1,13,15,0.8666666666666667,13,0.8666666666666667,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,EASY_CORRECT
30,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
31,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
32,1,1,8,15,0.5333333333333333,8,0.5333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,BORDERLINE_CORRECT
33,2,1,3,15,0.2,7,0.4666666666666667,0,1,0,1,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,UNCERTAIN
34,2,3,3,15,0.2,10,0.6666666666666666,0,2,1,1,0,1,0,2,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,0,3,0,UNCERTAIN
35,3,3,11,15,0.7333333333333333,11,0.7333333333333333,1,3,1,3,1,2,0,3,1,3,1,3,1,3,1,3,1,3,1,2,0,3,1,3,1,3,1,2,0,2,0,BORDERLINE_CORRECT
36,1,3,0,15,0.0,13,0.8666666666666667,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,3,0,3,0,CONSISTENTLY_WRONG
37,2,2,15,15,1.0,15,1.0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,EASY_CORRECT
38,3,2,7,15,0.4666666666666667,8,0.5333333333333333,0,3,1,2,0,3,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,1,3,1,UNCERTAIN
39,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
40,1,0,4,15,0.26666666666666666,8,0.5333333333333333,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,UNCERTAIN
41,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
42,2,1,2,15,0.13333333333333333,12,0.8,0,1,0,1,0,1,0,1,0,2,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,2,1,1,0,CONSISTENTLY_WRONG
43,2,2,9,15,0.6,9,0.6,1,2,1,2,1,3,0,2,1,2,1,2,1,2,1,2,1,1,0,1,0,1,0,1,0,2,1,2,1,3,0,BORDERLINE_CORRECT
44,2,3,0,15,0.0,15,1.0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,CONSISTENTLY_WRONG
45,2,2,6,15,0.4,6,0.4,1,1,0,1,0,1,0,2,1,1,0,2,1,2,1,3,0,2,1,3,0,3,0,3,0,2,1,1,0,2,1,UNCERTAIN
46,1,0,5,15,0.3333333333333333,6,0.4,0,2,0,1,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,UNCERTAIN
47,1,2,0,15,0.0,9,0.6,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,CONSISTENTLY_WRONG
48,2,2,8,15,0.5333333333333333,8,0.5333333333333333,1,3,0,3,0,3,0,2,1,3,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,0,3,0,3,0,BORDERLINE_CORRECT
49,2,2,14,15,0.9333333333333333,14,0.9333333333333333,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,0,2,1,2,1,EASY_CORRECT
50,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
51,2,2,7,15,0.4666666666666667,7,0.4666666666666667,1,3,0,2,1,3,0,2,1,2,1,3,0,2,1,1,0,1,0,2,1,1,0,1,0,2,1,1,0,2,1,UNCERTAIN
52,0,2,0,15,0.0,12,0.8,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,CONSISTENTLY_WRONG
53,2,2,8,15,0.5333333333333333,8,0.5333333333333333,1,1,0,1,0,1,0,2,1,2,1,1,0,2,1,2,1,1,0,2,1,2,1,2,1,3,0,3,0,2,1,BORDERLINE_CORRECT
54,2,3,1,15,0.06666666666666667,7,0.4666666666666667,0,1,0,3,0,3,0,3,0,3,0,3,0,1,0,2,1,1,0,1,0,0,0,1,0,3,0,3,0,1,0,CONSISTENTLY_WRONG
55,1,2,3,15,0.2,10,0.6666666666666666,0,1,1,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,1,1,UNCERTAIN
56,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
57,3,3,8,15,0.5333333333333333,8,0.5333333333333333,1,2,0,3,1,3,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,2,0,3,1,3,1,2,0,3,1,BORDERLINE_CORRECT
58,2,1,4,15,0.26666666666666666,10,0.6666666666666666,0,2,1,3,0,1,0,2,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,1,0,UNCERTAIN
59,2,0,3,15,0.2,4,0.26666666666666666,0,2,1,0,0,2,1,0,0,1,0,1,0,2,1,1,0,3,0,3,0,3,0,3,0,1,0,0,0,0,0,UNCERTAIN
60,2,0,0,15,0.0,12,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,CONSISTENTLY_WRONG
61,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
62,2,2,9,15,0.6,9,0.6,1,2,1,2,1,1,0,2,1,2,1,2,1,2,1,2,1,3,0,3,0,2,1,3,0,1,0,2,1,1,0,BORDERLINE_CORRECT
63,1,1,13,15,0.8666666666666667,13,0.8666666666666667,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,EASY_CORRECT
64,2,2,11,15,0.7333333333333333,11,0.7333333333333333,1,2,1,2,1,2,1,2,1,2,1,2,1,0,0,2,1,2,1,0,0,0,0,0,0,2,1,2,1,2,1,BORDERLINE_CORRECT
65,1,0,0,15,0.0,14,0.9333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,CONSISTENTLY_WRONG
66,1,2,1,15,0.06666666666666667,10,0.6666666666666666,0,2,0,1,1,2,0,2,0,2,0,2,0,3,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,CONSISTENTLY_WRONG
67,3,3,9,15,0.6,9,0.6,1,3,1,3,1,3,1,3,1,3,1,3,1,2,0,3,1,2,0,2,0,2,0,2,0,3,1,2,0,3,1,BORDERLINE_CORRECT
68,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
69,2,3,7,15,0.4666666666666667,8,0.5333333333333333,0,2,1,2,1,2,1,3,0,3,0,3,0,2,1,2,1,2,1,3,0,2,1,3,0,3,0,3,0,3,0,UNCERTAIN
70,3,3,12,15,0.8,12,0.8,1,3,1,3,1,3,1,3,1,3,1,3,1,2,0,1,0,3,1,3,1,1,0,3,1,3,1,3,1,3,1,EASY_CORRECT
71,3,2,2,15,0.13333333333333333,12,0.8,0,2,0,3,1,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,CONSISTENTLY_WRONG
72,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
73,0,0,14,15,0.9333333333333333,14,0.9333333333333333,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,0,0,1,EASY_CORRECT
74,1,0,7,15,0.4666666666666667,7,0.4666666666666667,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,UNCERTAIN
75,2,0,0,15,0.0,12,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CONSISTENTLY_WRONG
76,1,3,0,15,0.0,15,1.0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,CONSISTENTLY_WRONG
77,1,2,2,15,0.13333333333333333,11,0.7333333333333333,0,0,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,0,1,1,CONSISTENTLY_WRONG
78,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
79,3,3,11,15,0.7333333333333333,11,0.7333333333333333,1,2,0,2,0,2,0,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,1,0,3,1,3,1,3,1,BORDERLINE_CORRECT
80,1,2,0,15,0.0,8,0.5333333333333333,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,3,0,2,0,CONSISTENTLY_WRONG
81,2,3,0,15,0.0,12,0.8,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0,3,0,1,0,1,0,3,0,3,0,3,0,CONSISTENTLY_WRONG
82,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
83,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
84,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
85,2,2,11,15,0.7333333333333333,11,0.7333333333333333,1,2,1,2,1,2,1,1,0,2,1,2,1,2,1,2,1,2,1,1,0,1,0,1,0,2,1,2,1,2,1,BORDERLINE_CORRECT
86,0,1,7,15,0.4666666666666667,8,0.5333333333333333,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,UNCERTAIN
87,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
88,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
89,2,2,9,15,0.6,9,0.6,1,2,1,1,0,2,1,1,0,2,1,2,1,1,0,2,1,2,1,1,0,1,0,1,0,2,1,2,1,2,1,BORDERLINE_CORRECT
90,2,1,3,15,0.2,12,0.8,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,1,0,1,0,1,0,1,0,1,0,2,1,2,1,UNCERTAIN
91,1,2,6,15,0.4,8,0.5333333333333333,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,2,0,UNCERTAIN
92,0,0,14,15,0.9333333333333333,14,0.9333333333333333,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,EASY_CORRECT
93,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
94,0,1,2,15,0.13333333333333333,12,0.8,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,0,1,0,1,1,0,CONSISTENTLY_WRONG
95,0,0,11,15,0.7333333333333333,11,0.7333333333333333,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,BORDERLINE_CORRECT
96,1,0,1,15,0.06666666666666667,14,0.9333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONSISTENTLY_WRONG
97,2,3,4,15,0.26666666666666666,9,0.6,0,3,0,3,0,1,0,2,1,3,0,2,1,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,1,1,0,UNCERTAIN
98,2,2,13,15,0.8666666666666667,13,0.8666666666666667,1,3,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,0,2,1,2,1,EASY_CORRECT
99,0,1,4,15,0.26666666666666666,11,0.7333333333333333,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,UNCERTAIN
100,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
101,2,3,2,15,0.13333333333333333,13,0.8666666666666667,0,3,0,3,0,2,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,0,3,0,3,0,3,0,CONSISTENTLY_WRONG
102,2,0,6,15,0.4,8,0.5333333333333333,0,2,1,2,1,2,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,UNCERTAIN
103,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
104,1,0,6,15,0.4,9,0.6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,UNCERTAIN
105,0,2,0,15,0.0,12,0.8,0,1,0,2,0,2,0,2,0,2,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,CONSISTENTLY_WRONG
106,1,1,15,15,1.0,15,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EASY_CORRECT
107,2,2,10,15,0.6666666666666666,10,0.6666666666666666,1,3,0,3,0,3,0,2,1,2,1,2,1,2,1,2,1,2,1,3,0,2,1,3,0,2,1,2,1,2,1,BORDERLINE_CORRECT
108,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
109,3,2,2,15,0.13333333333333333,6,0.4,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,3,1,CONSISTENTLY_WRONG
110,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
111,0,1,5,15,0.3333333333333333,10,0.6666666666666666,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,UNCERTAIN
112,2,3,0,15,0.0,11,0.7333333333333333,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0,CONSISTENTLY_WRONG
113,0,0,15,15,1.0,15,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,EASY_CORRECT
114,1,3,0,15,0.0,12,0.8,0,2,0,2,0,3,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,CONSISTENTLY_WRONG
115,3,3,12,15,0.8,12,0.8,1,3,1,3,1,2,0,3,1,3,1,3,1,3,1,3,1,2,0,3,1,3,1,2,0,3,1,3,1,3,1,EASY_CORRECT
116,1,2,5,15,0.3333333333333333,6,0.4,0,2,0,3,0,2,0,2,0,3,0,2,0,1,1,1,1,1,1,3,0,1,1,1,1,2,0,2,0,3,0,UNCERTAIN
117,0,1,0,15,0.0,13,0.8666666666666667,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,CONSISTENTLY_WRONG
118,3,3,9,15,0.6,9,0.6,1,2,0,3,1,3,1,2,0,3,1,3,1,2,0,3,1,3,1,2,0,3,1,3,1,2,0,3,1,1,0,BORDERLINE_CORRECT
119,3,3,12,15,0.8,12,0.8,1,2,0,2,0,2,0,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
120,2,0,0,15,0.0,10,0.6666666666666666,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CONSISTENTLY_WRONG
121,0,1,0,15,0.0,12,0.8,0,2,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,CONSISTENTLY_WRONG
122,2,0,5,15,0.3333333333333333,6,0.4,0,2,1,2,1,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,UNCERTAIN
123,1,2,0,15,0.0,13,0.8666666666666667,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,2,0,0,0,CONSISTENTLY_WRONG
124,2,3,6,15,0.4,9,0.6,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,1,3,0,2,1,2,1,3,0,2,1,2,1,UNCERTAIN
125,0,0,11,15,0.7333333333333333,11,0.7333333333333333,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,BORDERLINE_CORRECT
126,1,1,9,15,0.6,9,0.6,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,2,0,2,0,BORDERLINE_CORRECT
127,0,0,12,15,0.8,12,0.8,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,EASY_CORRECT
128,1,3,3,15,0.2,8,0.5333333333333333,0,3,0,1,1,3,0,2,0,2,0,2,0,3,0,3,0,3,0,2,0,3,0,3,0,1,1,1,1,3,0,UNCERTAIN
129,0,0,14,15,0.9333333333333333,14,0.9333333333333333,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,EASY_CORRECT
130,2,2,7,15,0.4666666666666667,7,0.4666666666666667,1,2,1,2,1,2,1,2,1,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,2,1,UNCERTAIN
131,1,1,12,15,0.8,12,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,1,EASY_CORRECT
132,3,3,15,15,1.0,15,1.0,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
133,0,0,12,15,0.8,12,0.8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,EASY_CORRECT
134,3,3,13,15,0.8666666666666667,13,0.8666666666666667,1,1,0,2,0,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,EASY_CORRECT
